trade_id,open_time,close_time,side,entry,exit,qty,sl,tp,pnl,r_realised,duration_minutes,atr_at_entry,exit_reason
1,2026-05-19T12:23:29+00:00,2026-05-19T13:41:01+00:00,SELL,4546.3999,4519.4595,123.73,4562.5641,4519.4595,3333.33,1.667,77,10.776,TP
2,2026-05-19T13:41:01+00:00,2026-05-19T16:10:49+00:00,SELL,4492.2998,4511.5083,107.5912,4511.5083,4460.2856,-2066.67,-1.0,149,12.806,SL
3,2026-05-19T16:55:24+00:00,2026-05-20T01:54:56+00:00,SELL,4509.5,4477.2833,104.7767,4528.83,4477.2833,3375.56,1.667,539,12.887,TP
4,2026-05-20T01:54:57+00:00,2026-05-20T08:33:49+00:00,SELL,4469.2998,4486.5522,121.3073,4486.5522,4440.5458,-2092.84,-1.0,398,11.502,SL
5,2026-05-20T16:33:43+00:00,2026-05-20T19:55:18+00:00,SELL,4530.7002,4550.6395,102.8614,4550.6395,4497.468,-2050.99,-1.0,201,13.293,SL
6,2026-05-21T13:45:01+00:00,2026-05-21T15:01:31+00:00,SELL,4494.2002,4510.2191,125.4749,4510.2191,4467.5021,-2009.97,-1.0,76,10.679,SL
7,2026-05-21T15:01:32+00:00,2026-05-21T17:25:42+00:00,SELL,4507.1001,4524.4003,113.8583,4524.4003,4478.2665,-1969.77,-1.0,144,11.533,SL
8,2026-05-22T15:10:59+00:00,2026-05-22T15:40:48+00:00,SELL,4502.2002,4517.3937,63.5265,4517.3937,4476.8778,-965.19,-1.0,29,10.129,SL
9,2026-05-26T14:10:40+00:00,2026-05-26T18:34:30+00:00,SELL,4512.1001,4486.2489,61.6048,4527.6108,4486.2489,1592.56,1.667,263,10.34,TP
10,2026-05-27T11:46:45+00:00,2026-05-27T13:39:24+00:00,SELL,4467.5,4441.536,62.3595,4483.0784,4441.536,1619.1,1.667,112,10.386,TP
11,2026-05-27T18:10:32+00:00,2026-05-28T03:49:21+00:00,SELL,4481.0,4455.7027,65.0696,4496.1784,4455.7027,1646.09,1.667,578,10.119,TP
